@id,n,r,r1,NCBI_id
8007,KDM5A,ncbigene:5927,ncbigene,5927
8006,NCOA5,ncbigene:57727,ncbigene,57727
8005,ST7,ncbigene:7982,ncbigene,7982
8004,CCM2,ncbigene:83605,ncbigene,83605
8003,FAAP24,ncbigene:91442,ncbigene,91442
8002,ZNF317,ncbigene:57693,ncbigene,57693
8001,ABCD4,ncbigene:5826,ncbigene,5826
8000,SLAIN2,ncbigene:57606,ncbigene,57606
7999,PITPNM2,ncbigene:57605,ncbigene,57605
7998,SIPA1,ncbigene:6494,ncbigene,6494
7997,SEC16A,ncbigene:9919,ncbigene,9919
7996,CC2D2A,ncbigene:57545,ncbigene,57545
7995,TXNDC16,ncbigene:57544,ncbigene,57544
7994,ZNF282,ncbigene:8427,ncbigene,8427
7993,XPR1,ncbigene:9213,ncbigene,9213
7992,KIDINS220,ncbigene:57498,ncbigene,57498
7991,CRACD,ncbigene:57482,ncbigene,57482
7990,KDM8,ncbigene:79831,ncbigene,79831
7989,OSBPL2,ncbigene:9885,ncbigene,9885
7988,CCNQ,ncbigene:92002,ncbigene,92002
7987,CA11,ncbigene:770,ncbigene,770
7986,TMEM135,ncbigene:65084,ncbigene,65084
7985,CLK4,ncbigene:57396,ncbigene,57396
7984,PTBP1,ncbigene:5725,ncbigene,5725
7983,BAD,ncbigene:572,ncbigene,572
7982,THOC1,ncbigene:9984,ncbigene,9984
7981,THOC2,ncbigene:57187,ncbigene,57187
7980,ASPHD2,ncbigene:57168,ncbigene,57168
7979,SLC44A2,ncbigene:57153,ncbigene,57153
7978,LRP11,ncbigene:84918,ncbigene,84918
7977,ARHGEF11,ncbigene:9826,ncbigene,9826
7976,IST1,ncbigene:9798,ncbigene,9798
7975,CALML3,ncbigene:810,ncbigene,810
7974,CALM3,ncbigene:808,ncbigene,808
7973,RAB25,ncbigene:57111,ncbigene,57111
7972,MAFK,ncbigene:7975,ncbigene,7975
7971,PITHD1,ncbigene:57095,ncbigene,57095
7970,USP32,ncbigene:84669,ncbigene,84669
7969,TBX18,ncbigene:9096,ncbigene,9096
7968,TBX20,ncbigene:57057,ncbigene,57057
7967,SLC12A9,ncbigene:56996,ncbigene,56996
7966,TULP4,ncbigene:56995,ncbigene,56995
7965,CHPT1,ncbigene:56994,ncbigene,56994
7964,PRDM11,ncbigene:56981,ncbigene,56981
7963,TMEFF1,ncbigene:8577,ncbigene,8577
7962,ATXN7,ncbigene:6314,ncbigene,6314
7961,ANKRD50,ncbigene:57182,ncbigene,57182
7960,MFF,ncbigene:56947,ncbigene,56947
7959,DUS3L,ncbigene:56931,ncbigene,56931
7958,TXNDC15,ncbigene:79770,ncbigene,79770
7957,PGAP6,ncbigene:58986,ncbigene,58986
7956,LDHAL6B,ncbigene:92483,ncbigene,92483
7955,MEIS3,ncbigene:56917,ncbigene,56917
7954,PSMB10,ncbigene:5699,ncbigene,5699
7953,SH3GLB2,ncbigene:56904,ncbigene,56904
7952,WRNIP1,ncbigene:56897,ncbigene,56897
7951,LGALS14,ncbigene:56891,ncbigene,56891
7950,CEP85,ncbigene:64793,ncbigene,64793
7949,PSME2,ncbigene:5721,ncbigene,5721
7948,PSME1,ncbigene:5720,ncbigene,5720
7947,PSMB6,ncbigene:5694,ncbigene,5694
7946,PSMB5,ncbigene:5693,ncbigene,5693
7945,PSMA7,ncbigene:5688,ncbigene,5688
7944,PSMA6,ncbigene:5687,ncbigene,5687
7943,PSMA3,ncbigene:5684,ncbigene,5684
7942,PSG11,ncbigene:5680,ncbigene,5680
7941,PSG4,ncbigene:5672,ncbigene,5672
7940,BCCIP,ncbigene:56647,ncbigene,56647
7939,TPH1,ncbigene:7166,ncbigene,7166
7938,DNAJC12,ncbigene:56521,ncbigene,56521
7937,PRSS3,ncbigene:5646,ncbigene,5646
7936,PRSS2,ncbigene:5645,ncbigene,5645
7935,CABP5,ncbigene:56344,ncbigene,56344
7934,ANGEL2,ncbigene:90806,ncbigene,90806
7933,SRGAP1,ncbigene:57522,ncbigene,57522
7932,PRPH,ncbigene:5630,ncbigene,5630
7931,GKN1,ncbigene:56287,ncbigene,56287
7930,ANKH,ncbigene:56172,ncbigene,56172
7929,PCDHA1,ncbigene:56147,ncbigene,56147
7928,PCDHA2,ncbigene:56146,ncbigene,56146
7927,PCDHA7,ncbigene:56141,ncbigene,56141
7926,PCDHA11,ncbigene:56138,ncbigene,56138
7925,PCDHB16,ncbigene:57717,ncbigene,57717
7924,PCDHB2,ncbigene:56133,ncbigene,56133
7923,PCDHB4,ncbigene:56131,ncbigene,56131
7922,PCDHB8,ncbigene:56128,ncbigene,56128
7921,PCDHB9,ncbigene:56127,ncbigene,56127
7920,PCDHB10,ncbigene:56126,ncbigene,56126
7919,PCDHB12,ncbigene:56124,ncbigene,56124
7918,PCDHB13,ncbigene:56123,ncbigene,56123
7917,PCDHGA5,ncbigene:56110,ncbigene,56110
7916,PCDHGA3,ncbigene:56112,ncbigene,56112
7915,PCDHGA9,ncbigene:56107,ncbigene,56107
7914,PCDHGA4,ncbigene:56111,ncbigene,56111
7913,PCDHGA7,ncbigene:56108,ncbigene,56108
7912,PCDHGA10,ncbigene:56106,ncbigene,56106
7911,PCDHGB4,ncbigene:8641,ncbigene,8641
7910,PCDHGB3,ncbigene:56102,ncbigene,56102
7909,PCDHGB5,ncbigene:56101,ncbigene,56101
7908,PCDHGB6,ncbigene:56100,ncbigene,56100
7907,PCDHGB7,ncbigene:56099,ncbigene,56099
7906,MAPK12,ncbigene:6300,ncbigene,6300
7905,MAPK13,ncbigene:5603,ncbigene,5603
7904,MAPK11,ncbigene:5600,ncbigene,5600
7903,MAPK9,ncbigene:5601,ncbigene,5601
7902,FAM104A,ncbigene:84923,ncbigene,84923
7901,ASPSCR1,ncbigene:79058,ncbigene,79058
7900,NSFL1C,ncbigene:55968,ncbigene,55968
7899,MAPKAPK5,ncbigene:8550,ncbigene,8550
7898,MAPK6,ncbigene:5597,ncbigene,5597
7897,UBTF,ncbigene:7343,ncbigene,7343
7896,PDP2,ncbigene:57546,ncbigene,57546
7895,TMEM44,ncbigene:93109,ncbigene,93109
7894,PTPRR,ncbigene:5801,ncbigene,5801
7893,ACSS2,ncbigene:55902,ncbigene,55902
7892,PBK,ncbigene:55872,ncbigene,55872
7891,ASH1L,ncbigene:55870,ncbigene,55870
7890,AIFM2,ncbigene:84883,ncbigene,84883
7889,TMEM165,ncbigene:55858,ncbigene,55858
7888,TEX2,ncbigene:55852,ncbigene,55852
7887,PKN1,ncbigene:5585,ncbigene,5585
7886,ATG101,ncbigene:60673,ncbigene,60673
7885,RNF20,ncbigene:56254,ncbigene,56254
7884,EAF2,ncbigene:55840,ncbigene,55840
7883,BMP15,ncbigene:9210,ncbigene,9210
7882,CALCA,ncbigene:796,ncbigene,796
7881,NR2E1,ncbigene:7101,ncbigene,7101
7880,KDM3A,ncbigene:55818,ncbigene,55818
7879,CMTR2,ncbigene:55783,ncbigene,55783
7878,RIOK2,ncbigene:55781,ncbigene,55781
7877,TBC1D23,ncbigene:55773,ncbigene,55773
7876,TMEM184C,ncbigene:55751,ncbigene,55751
7875,CNDP1,ncbigene:84735,ncbigene,84735
7874,CNDP2,ncbigene:55748,ncbigene,55748
7873,EIF1AD,ncbigene:84285,ncbigene,84285
7872,SLF1,ncbigene:84250,ncbigene,84250
7871,SLF2,ncbigene:55719,ncbigene,55719
7870,WDR11,ncbigene:55717,ncbigene,55717
7869,FIG4,ncbigene:9896,ncbigene,9896
7868,FRMD4A,ncbigene:55691,ncbigene,55691
7867,IWS1,ncbigene:55677,ncbigene,55677
7866,TMEM62,ncbigene:80021,ncbigene,80021
7865,ASB13,ncbigene:79754,ncbigene,79754
7864,ANKRD55,ncbigene:79722,ncbigene,79722
7863,ANKEF1,ncbigene:63926,ncbigene,63926
7862,RNASEL,ncbigene:6041,ncbigene,6041
7861,SRCIN1,ncbigene:80725,ncbigene,80725
7860,ALKBH1,ncbigene:8846,ncbigene,8846
7859,SYBU,ncbigene:55638,ncbigene,55638
7858,SOCS3,ncbigene:9021,ncbigene,9021
7857,DCLRE1C,ncbigene:64421,ncbigene,64421
7856,MTMR9,ncbigene:66036,ncbigene,66036
7855,MTMR8,ncbigene:55613,ncbigene,55613
7854,SLBP,ncbigene:7884,ncbigene,7884
7853,UBE2D2,ncbigene:7322,ncbigene,7322
7852,ANKRD10,ncbigene:55608,ncbigene,55608
7851,CARMIL1,ncbigene:55604,ncbigene,55604
7850,RNPC3,ncbigene:55599,ncbigene,55599
7849,VEZT,ncbigene:55591,ncbigene,55591
7848,UBE2Q2,ncbigene:92912,ncbigene,92912
7847,CDC42BPG,ncbigene:55561,ncbigene,55561
