node1,node2
26272,6500
53343,64788
5147,9364
5147,84823
5147,83874
5147,6103
5147,56623
5147,5412
26267,5147
26263,6500
26263,571
388552,84062
388552,63915
388552,55653
339451,64839
26234,8924
26234,8454
652,811
6470,6472
57462,8794
57462,8788
566,89890
566,79699
566,6455
54910,944
54910,81833
54910,7379
5167,93436
5167,5727
51421,64398
5125,5553
51028,84313
51028,79643
50863,811
4233,90273
4233,6259
3688,3964
3688,3956
3673,3964
3673,3956
3572,5008
3425,79630
3425,5156
3099,3101
2799,56886
2799,3482
2799,3329
2799,285362
2661,347688
29924,55040
51763,9587
51763,6134
51763,55031
51763,54620
2618,51763
57418,81887
57418,81689
57418,79707
474382,81887
474382,79707
474382,708
474382,4898
26167,56132
56993,9804
56993,79607
56993,6513
6774,9338
26148,5252
340371,81628
2962,65263
54925,7727
54925,7579
54925,7572
84968,9240
64718,9581
79867,9789
79867,80776
79600,80776
79600,79867
26123,79867
26123,79600
26123,5727
26123,55128
26118,9616
26118,8065
26115,5501
26115,30851
54828,80262
54828,57692
26100,80262
26100,54828
284654,708
26093,79753
26093,55216
84970,9361
84970,91369
26091,84970
80817,83648
55722,5998
5270,79630
5270,5328
26085,5270
26065,56341
26064,9217
26064,79036
26064,5702
26058,9470
26051,5500
9623,9969
260425,9623
26039,9274
26039,8110
26039,6601
26038,8099
26038,5931
