@id,n,NCBI_id
840,UBQLN2,29978
841,BLZF1,8548
842,HIGD1A,25994
843,GCLC,2729
844,NR3C2,4306
845,NR3C1,2908
846,SRI,6717
847,CRYZ,1429
848,GTF2H1,2965
849,USP12P1,9959
850,TMX4,56255
851,AKR1B1,231
852,TMX1,81542
853,DACH1,1602
854,CDV3,55573
855,COX7A2L,9167
856,SEC22B,9554
857,DAZAP2,9802
858,ESR1,2099
859,TAB2,23118
860,CD164,8763
861,RIOK3,8780
862,TARBP1,6894
863,ACTL6A,86
864,SDHB,6390
865,GDNF,2668
866,SDHD,6392
867,RNF10,9921
868,DBN1,1627
869,ACTG1,71
870,BLOC1S2,282991
871,COMMD2,51122
872,CAPZB,832
873,ELAVL1,1994
874,RC3H2,54542
875,ARL13B,200894
876,GFM1,85476
877,ITGAV,3685
878,SMAD5,4090
879,AP3M1,26985
880,SMAD2,4087
881,MIB1,57534
882,XIAP,331
883,AMMECR1L,83607
884,RBM12,10137
885,RIOK1,83732
886,CMTR2,55783
887,MOB1B,92597
888,EEA1,8411
889,SELENOF,9403
890,ITGB1,3688
891,THUMPD1,55623
892,BMI1,648
893,BRMS1L,84312
894,THAP5,168451
895,FAR1,84188
896,WDR77,79084
897,SLC12A2,6558
898,SH3BP4,23677
899,SLC2A9,56606
900,YTHDF3,253943
901,MED4,29079
902,VEZF1,7716
903,CCDC6,8030
904,DHX40,79665
905,HMGN4,10473
906,OSTM1,28962
907,RPS6KB1,6198
908,RANBP6,26953
909,CLIC4,25932
910,SMNDC1,10285
911,USP8,9101
912,MTERF3,51001
913,AP3S1,1176
914,IQGAP1,8826
915,ZBTB2,57621
916,PAPOLA,10914
917,DPH3,285381
918,PPIL4,85313
919,TMEM263,90488
920,TRIM25,7706
921,PRMT5,10419
922,DNAJA2,10294
923,GSKIP,51527
924,SEPT6,23157
925,TWSG1,57045
926,USP46,64854
927,UBLCP1,134510
928,UBA2,10054
929,SMIM15,643155
930,MYO1E,4643
931,PHF10,55274
932,BTBD10,84280
933,ZNF532,55205
934,GMFB,2764
935,APLP2,334
936,VPS4B,9525
937,MAP4K3,8491
938,BIRC3,330
939,AEBP2,121536
940,ABCC4,10257
941,TMEM167B,56900
942,VEZT,55591
943,TM2D2,83877
944,ZFAND1,79752
945,GSN,2934
946,SLC39A10,57181
947,ZNF146,7705
948,GOLGA5,9950
949,URI1,8725
950,OTUD6B,51633
951,PCGF2,7703
952,ADAM9,8754
953,NIPSNAP3A,25934
954,ANKRD50,57182
955,METAP2,10988
956,THAP12,5612
957,TOP2B,7155
958,ARPC2,10109
959,ARPC4,10093
960,TAF9,6880
961,AGPS,8540
962,RAD23B,5887
963,HNRNPR,10236
964,TCEAL8,90843
965,AKR1B10,57016
966,ZBTB41,360023
967,TATDN1,83940
968,LRP11,84918
969,DPY19L4,286148
970,HOOK3,84376
971,LRRC57,255252
972,USP14,9097
973,SSBP2,23635
974,RASA1,5921
975,SEC22C,9117
976,GORAB,92344
977,BCL2L1,598
978,MOV10,4343
979,GLRX5,51218
980,PSMF1,9491
981,MARCH6,10299
982,ZFAND3,60685
983,MARCH3,115123
984,MARCH2,51257
985,SUPT5H,6829
986,HSP90AB1,3326
987,FLII,2314
988,PTP4A2,8073
989,RELA,5970
990,SETDB1,9869
991,DYSF,8291
992,RAB5B,5869
993,R3HDM4,91300
994,TRIM26,7726
995,UTP14A,10813
996,SEC24C,9632
997,CHFR,55743
998,MDM2,4193
999,SHMT2,6472
1000,GMPR,2766
1001,RNF181,51255
1002,PPP2R5B,5526
1003,TERF1,7013
1004,STRADB,55437
1005,ZNF592,9640
1006,SLC25A37,51312
1007,PINK1,65018
1008,SEC16A,9919
1009,EIF5B,9669
1010,NPRL3,8131
1011,XPO1,7514
1012,UBAP1,51271
1013,UBTD1,80019
1014,PPP6C,5537
1015,UBXN6,80700
1016,CCDC90B,60492
